Datasource Name,Datasource ID,Field Name,Full Name,Description,Table ID,Table Name,Database Name
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,Active Queue,active_queue,Active queue corresponding to the ticket,971d20be-3087-685e-c187-cfa5f6f098a8,gts_queues_mappings_v2,rax-enterprisebi
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,ATAT Auto %,Calculation_1024568941444567041,Percentage of the total tickets that has been assigned automatically,NA,NA,NA
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,Ticket Source,ticket_source,"Source of the ticket (CORE, Encore, AT-AT)",0aac9a3b-5a61-ff75-ba0d-3e0835004fe3,vw_atat,rax-enterprisebi
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,Support Business Unit,support_business_unit,Business unit corresponging to the team support,0aac9a3b-5a61-ff75-ba0d-3e0835004fe3,vw_atat,rax-enterprisebi
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,gts_queues_mappings_v2,__tableau_internal_object_id__.gts_queues_mappings_v2_787BB9C2CE2C4AA09C4FB9C157BBC3D4,Count of the total rows in GTS Queue Mappings table,NA,NA,NA
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,Racker Function,racker_function,Function corresponding to the assigned racker,99c47986-b745-f564-8e11-dfaf7c38a579,vw_atat_racker_info,rax-enterprisebi
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,ATAT Automatic Escalation,atat_automatic_escalation,Count of the tickets that has been escalated automatically. 1 if is applicable to the ticket or 0 if is not applicable,0aac9a3b-5a61-ff75-ba0d-3e0835004fe3,vw_atat,rax-enterprisebi
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,ATAT Year,time_year_number,Year corresponding to the created date of the ticket,0aac9a3b-5a61-ff75-ba0d-3e0835004fe3,vw_atat,rax-enterprisebi
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,Total ATAT Manual-Assignments,Calculation_1024568941448683525,Sum of all the manual assigned tickets,NA,NA,NA
RT - AT-AT Metrics,11a52d6a-a604-cd91-107a-44a1ad842f09,ATAT Day of Week Number,time_day_week,Day of week number part corresponding to the created date of the ticket,0aac9a3b-5a61-ff75-ba0d-3e0835004fe3,vw_atat,rax-enterprisebi
